4126 12928394 6100
4125 12921554 6839
4124 12911648 9905
4123 12900940 10707
4122 12897240 3699
4121 12892483 4756
4120 12888677 3805
4119 12886930 1746
4118 12881829 5100
4117 12875565 6263
4116 12864615 10949
4115 12859933 4681
4114 12847096 12836
4113 12837507 9588
4112 12831144 6362
4111 12826521 4622
4110 12816758 9762
4109 12808362 8395
4108 12803229 5132
4107 12799489 3739
4106 12773693 25795
4105 12769264 4428
4104 12762926 6337
4103 12751485 11440
4102 12750147 1337
4101 12743479 6667
4100 12741849 1629
4099 12740807 1041
4098 12740138 668
4097 12737314 2823
4096 12733917 3396
4095 12726775 7141
4094 12721705 5069
4093 12717632 4072
4092 12714953 2678
4091 12710272 4680
4090 12701716 8555
4089 12693703 8012
4088 12684544 9158
4087 12682451 2092
4086 12679002 3448
4085 12677475 1526
4084 12676946 528
4083 12669614 7331
4082 12666428 3185
4081 12665606 821
4080 12665124 481
4079 12659650 5473
4078 12646104 13545
4077 12626608 19495
4076 12615325 11282
4075 12607953 7371
4074 12599516 8436
4073 12590771 8744
4072 12574773 15997
4071 12565530 9242
4070 12554272 11257
4069 12545203 9068
4068 12544136 1066
4067 12542847 1288
4066 12535451 7395
4065 12531845 3605
4064 12520658 11186
4063 12516336 4321
4062 12504042 12293
4061 12502294 1747
4060 12501573 720
4059 12500590 982
4058 12499968 621
4057 12499290 677
4056 12498443 846
4055 12495338 3104
4054 12494034 1303
4053 12483949 10084
4052 12479936 4012
4051 12479275 660
4050 12478533 741
4049 12467539 10993
4048 12462217 5321
4047 12461206 1010
4046 12460186 1019
4045 12459104 1081
4044 12456631 2472
4043 12455124 1506
4042 12448122 7001
4041 12444173 3948
4040 12435334 8838
4039 12434605 728
4038 12433505 1099
4037 12429319 4185
4036 12423160 6158
4035 12419490 3669
4034 12415125 4364
4033 12413272 1852
4032 12408883 4388
4031 12404345 4537
4030 12399753 4591
4029 12394258 5494
4028 12392478 1779
4027 12391349 1128
4026 12387311 4037
4025 12377698 9612
4024 12371884 5813
4023 12369033 2850
4022 12365807 3225
4021 12365100 706
4020 12363302 1797
4019 12354205 9096
4018 12352574 1630
4017 12348904 3669
4016 12336636 12267
4015 12321990 14645
4014 12318104 3885
4013 12313708 4395
4012 12301283 12424
4011 12297253 4029
4010 12293548 3704
4009 12267468 26079
4008 12264877 2590
4007 12252665 12211
4006 12247143 5521
4005 12244831 2311
4004 12242056 2774
4003 12240670 1385
4002 12235149 5520
4001 12234486 662
4000 12230695 3790
3999 12229554 1140
3998 12228846 707
3997 12227671 1174
3996 12217936 9734
3995 12208242 9693
3994 12201823 6418
3993 12195526 6296
3992 12188735 6790
3991 12182724 6010
3990 12179379 3344
3989 12177610 1768
3988 12174706 2903
3987 12173287 1418
3986 12164259 9027
3985 12157555 6703
3984 12154286 3268
3983 12147820 6465
3982 12146133 1686
3981 12140060 6072
3980 12133968 6091
3979 12130926 3041
3978 12124547 6378
3977 12120241 4305
3976 12110663 9577
3975 12108520 2142
3974 12106942 1577
3973 12103155 3786
3972 12092413 10741
3971 12086682 5730
3970 12080329 6352
3969 12074118 6210
3968 12073357 760
3967 12070133 3223
3966 12069377 755
3965 12051012 18364
3964 12048189 2822
3963 12045830 2358
3962 12042808 3021
3961 12041177 1630
3960 12040644 532
3959 12026894 13749
3958 12025014 1879
3957 12021676 3337
3956 12019856 1819
3955 12017449 2406
3954 12010886 6562
3953 12010300 585
3952 12008896 1403
3951 12004730 4165
3950 12002046 2683
3949 12000197 1848
3948 11997170 3026
3947 11995941 1228
3946 11994130 1810
3945 11986458 7671
3944 11967010 19447
3943 11964945 2064
3942 11958211 6733
3941 11952734 5476
3940 11947074 5659
3939 11941472 5601
3938 11932521 8950
3937 11931569 951
3936 11929872 1696
3935 11928112 1759
3934 11926557 1554
3933 11923904 2652
3932 11917026 6877
3931 11914067 2958
3930 11912207 1859
3929 11911293 913
3928 11909341 1951
3927 11908129 1211
3926 11905191 2937
3925 11903457 1733
3924 11901266 2190
3923 11900917 348
3922 11899405 1511
3921 11898192 1212
3920 11891419 6772
3919 11885618 5800
3918 11883545 2072
3917 11879934 3610
3916 11878295 1638
3915 11872797 5497
3914 11871386 1410
3913 11870357 1028
3912 11867482 2874
